city_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
København,2021-07-16,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.2,,60.5,3.5,30.1,30.0,57.0,,1016.8,0.3,26.2,,2.7
København,2021-07-17,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,63.0,3.3,20.3,20.0,32.0,,1019.6,0.2,22.7,,3.6
København,2021-07-18,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.5,,61.0,0.9,21.9,20.0,23.0,,1017.4,0.1,19.0,,5.8
København,2021-07-19,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,66.0,2.3,19.4,22.0,32.0,,1017.2,0.2,19.2,,3.5
København,2021-07-20,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.6,,60.5,2.2,22.3,22.0,26.0,,1017.2,0.3,18.5,,4.8
København,2021-07-21,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,62.5,2.4,22.9,23.0,33.0,,1020.6,0.4,18.2,,3.2
København,2021-07-22,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.8,,64.0,7.0,23.2,29.0,38.0,,1020.6,0.4,19.6,,2.1
København,2021-07-23,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.1,,68.5,5.4,24.8,39.0,47.0,,1017.4,0.3,19.9,,2.3
København,2021-07-24,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,64.5,3.8,30.0,26.0,43.0,,1016.0,0.4,21.1,,3.3
København,2021-07-25,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.7,,73.5,2.5,28.1,22.0,35.0,,1013.9,0.2,21.2,,5.0
København,2021-07-26,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,,64.5,5.6,35.6,35.0,58.0,,1011.8,0.2,23.8,,3.1
København,2021-07-27,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.3,,74.0,6.8,34.9,30.0,58.0,,1010.1,0.3,22.1,,2.6
København,2021-07-28,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.9,,73.0,4.8,34.8,18.0,32.0,,1008.4,0.4,20.1,,4.0
København,2021-07-29,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.5,,73.0,3.7,25.8,20.0,27.0,,1005.0,0.3,17.5,,6.6
København,2021-07-30,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.6,,66.5,2.6,28.2,22.0,31.0,,1002.9,0.3,18.3,,7.3
København,2021-07-31,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.4,,76.5,3.6,25.3,20.0,37.0,,1001.2,0.3,17.1,,4.4
København,2021-08-01,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.3,,57.5,2.6,24.0,13.0,21.0,,1003.8,0.3,18.1,,4.7
København,2021-08-02,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.3,,67.0,3.1,22.2,19.0,25.0,,1005.7,0.3,17.8,,4.5
København,2021-08-03,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.7,,61.5,2.9,23.0,22.0,23.0,,1012.3,0.2,17.3,0.2,2.9
København,2021-08-04,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.5,,53.0,5.7,23.1,23.0,34.0,,1015.1,0.4,18.4,0.5,2.3
København,2021-08-05,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,60.0,6.3,28.6,27.0,32.0,,1014.1,0.5,18.6,,2.5
København,2021-08-06,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,67.5,5.5,24.4,20.0,32.0,,1008.1,0.4,18.0,,3.4
København,2021-08-07,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,76.0,5.6,27.2,17.0,34.0,,1004.6,0.3,16.9,,2.7
København,2021-08-08,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,77.0,3.5,26.6,12.0,28.0,,1004.1,0.2,18.0,,3.8
København,2021-08-09,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,80.0,5.6,22.7,17.0,34.0,,1013.9,0.3,16.9,,3.2
København,2021-08-10,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,76.0,6.9,21.7,17.0,29.0,,1015.3,0.4,17.4,,2.8
København,2021-08-11,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,67.5,5.0,21.7,20.0,33.0,,1016.6,0.4,19.0,,3.3
København,2021-08-12,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,71.0,7.1,27.5,20.0,33.0,,1020.4,0.3,19.2,,2.5
København,2021-08-13,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,63.0,8.2,29.1,29.0,41.0,,1017.9,0.3,20.1,,4.1
København,2021-08-14,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.7,,72.5,2.8,21.3,25.0,39.0,,1015.4,0.2,17.9,,4.6
København,2021-08-15,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.8,,68.0,3.5,24.4,19.0,30.0,,1010.3,0.3,18.0,,4.6
København,2021-08-16,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,77.0,5.6,22.2,13.0,26.0,,1002.6,0.3,16.0,,3.5
København,2021-08-17,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.1,,80.0,3.9,22.2,13.0,27.0,,1001.8,0.4,15.3,,5.5
København,2021-08-18,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.8,,75.0,2.6,24.4,15.0,27.0,,1003.4,0.2,15.8,,7.2
København,2021-08-19,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.7,,61.5,2.7,25.3,18.0,29.0,,1007.4,0.4,16.7,,6.0
København,2021-08-20,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,61.0,4.7,23.2,19.0,32.0,,1013.1,0.4,16.9,,4.6
København,2021-08-21,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,66.5,5.3,20.3,18.0,27.0,,1019.1,0.2,16.1,,2.5
København,2021-08-22,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.3,,59.5,13.0,18.7,22.0,35.0,,1020.3,,17.7,,1.9
København,2021-08-23,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,52.0,8.8,17.4,18.0,36.0,,1025.1,0.1,17.2,,2.2
København,2021-08-24,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.2,,67.5,11.0,21.9,21.0,34.0,,1028.9,0.8,17.0,,2.3
København,2021-08-25,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.1,,78.0,4.0,20.4,16.0,25.0,,1012.7,0.7,16.9,,4.8
København,2021-08-26,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.9,,72.5,2.8,15.8,9.0,19.0,,1009.0,0.4,14.7,,4.7
København,2021-08-27,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.3,,84.0,2.8,20.6,11.0,28.0,,1013.9,0.4,15.6,,4.1
København,2021-08-28,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,86.5,2.4,10.7,7.0,19.0,,1017.7,0.3,15.3,,4.0
København,2021-08-29,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.2,,75.5,2.1,20.2,18.0,47.0,,1018.2,0.2,17.6,,4.1
København,2021-08-30,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.2,,65.0,3.3,18.7,20.0,39.0,,1020.4,0.2,18.1,,3.9
København,2021-08-31,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.1,,63.0,4.9,21.1,20.0,36.0,,1021.4,0.3,17.6,,3.2
København,2021-09-01,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.5,,63.5,8.2,18.9,21.0,37.0,,1024.3,0.5,19.4,,2.5
København,2021-09-02,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.1,,58.5,11.0,21.8,23.0,39.0,,1025.7,0.6,19.0,,2.6
København,2021-09-03,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.9,,75.0,4.5,23.0,28.0,47.0,,1018.0,0.6,17.1,,3.4
København,2021-09-04,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.9,,69.0,4.3,21.8,15.0,30.0,,1021.0,0.4,14.8,6.5,3.4
København,2021-09-05,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,61.5,5.1,24.1,12.0,22.0,,1027.2,0.3,14.4,0.5,2.8
København,2021-09-06,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.4,,72.0,8.9,23.5,22.0,39.0,,1025.3,0.6,16.2,,2.3
København,2021-09-07,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.6,,65.0,8.8,20.7,28.0,47.0,,1024.0,0.5,17.8,,1.7
København,2021-09-08,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.5,,71.5,10.2,25.5,33.0,50.0,,1020.6,0.6,19.1,,2.5
København,2021-09-09,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.4,,63.0,12.2,31.6,30.0,60.0,,1015.4,0.8,19.4,,2.0
København,2021-09-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,,68.5,11.7,32.4,42.0,66.0,,1012.6,0.8,20.4,,1.9
