id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
22e14074,2023-03-24,4773551.0,34026.0,,36904615.0,29630039.0,9266264.0,9168636.0,2059.0,111.0,37.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-25,4774074.0,34039.0,,36907951.0,29630094.0,9266267.0,9168637.0,1923.0,105.0,32.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-26,4774444.0,34050.0,,36909969.0,29630102.0,9266267.0,9168637.0,1997.0,109.0,31.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-27,4776153.0,34056.0,,36916041.0,29630220.0,9266280.0,9168646.0,2040.0,112.0,34.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-28,4777454.0,34066.0,,36922284.0,29630359.0,9266293.0,9168651.0,1954.0,108.0,35.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-29,4778645.0,34074.0,,36927773.0,29630479.0,9266299.0,9168655.0,1904.0,109.0,30.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-30,4779696.0,34084.0,,36933093.0,29630652.0,9266310.0,9168666.0,1823.0,111.0,30.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-03-31,4780671.0,34095.0,,36938283.0,29630864.0,9266326.0,9168673.0,1773.0,102.0,28.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-01,4781068.0,34100.0,,36941196.0,29630898.0,9266326.0,9168676.0,1665.0,104.0,31.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
22e14074,2023-04-02,4781321.0,34109.0,,36943118.0,,,,1685.0,105.0,34.0,,,,,,,,,,,,,,,,,,,1,Belgium,,,50.8333,4.0,11433256.0,BEL,BE,56.0,EUR,,ChIJl5fz7WR9wUcR8g_mObTy60c,Belgium,BE,,BEL
